2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(typtypmod,INT4,4,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(attnum,INT8,8,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(attidentity,CHAR,1,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(attgenerated,CHAR,1,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(adsrc,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(description,TEXT,65535,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(typbasetype,OID,4,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveFields         Field(typtype,CHAR,1,T)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=59)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=32)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=39)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=38)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl processResults  <=BE DataRow(len=37)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveCommandStatus  <=BE CommandStatus(SELECT 5)
2023-11-10 23:38:18 FINEST org.postgresql.core.v3.QueryExecutorImpl receiveRFQ  <=BE ReadyForQuery(I)
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 4
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 6
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 1
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 2
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 3
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 15
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 10
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 11
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 14
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 13
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 9
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 4
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 6
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 1
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 2
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 3
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 15
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 10
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 11
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 14
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 13
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 9
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 4
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 6
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 1
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 2
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 3
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 15
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 10
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 11
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 14
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 13
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 9
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 4
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 6
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 1
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 2
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 3
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 15
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 10
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 11
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 14
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 13
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 9
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 4
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getInt   getInt columnIndex: 6
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 1
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 2
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 3
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 15
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 12
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 10
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getString   getString columnIndex: 11
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getLong   getLong columnIndex: 14
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBoolean   getBoolean columnIndex: 5
2023-11-10 23:38:18 FINEST org.postgresql.jdbc.PgResultSet getBytes   getBytes columnIndex: 13
